transformer;model;train_samples;val_samples;test_samples;seed;test_acc;test_prec;test_recall;test_f1
dino_vits8;XGBClassifier;50;0;80;0;0.9625;[1.         0.93023256];[0.925 1.   ];[0.96103896 0.96385542]
dino_vits8;XGBClassifier;50;0;80;1;0.975;[0.95238095 1.        ];[1.   0.95];[0.97560976 0.97435897]
dino_vits8;XGBClassifier;50;0;80;2;0.9625;[0.95121951 0.97435897];[0.975 0.95 ];[0.96296296 0.96202532]
dino_vits8;XGBClassifier;50;0;80;3;0.9;[0.88095238 0.92105263];[0.925 0.875];[0.90243902 0.8974359 ]
dino_vits8;XGBClassifier;50;0;80;4;0.9375;[0.97297297 0.90697674];[0.9   0.975];[0.93506494 0.93975904]
dino_vits8;XGBClassifier;50;0;80;5;0.8875;[0.8974359  0.87804878];[0.875 0.9  ];[0.88607595 0.88888889]
dino_vits8;XGBClassifier;50;0;80;6;0.9375;[0.88888889 1.        ];[1.    0.875];[0.94117647 0.93333333]
dino_vits8;XGBClassifier;50;0;80;7;0.9625;[0.97435897 0.95121951];[0.95  0.975];[0.96202532 0.96296296]
dino_vits8;XGBClassifier;50;0;80;8;0.975;[0.975 0.975];[0.975 0.975];[0.975 0.975]
dino_vits8;XGBClassifier;50;0;80;9;0.9625;[0.95121951 0.97435897];[0.975 0.95 ];[0.96296296 0.96202532]
dino_vits8;XGBClassifier;100;0;80;0;0.9875;[1.         0.97560976];[0.975 1.   ];[0.98734177 0.98765432]
dino_vits8;XGBClassifier;100;0;80;1;0.975;[0.95238095 1.        ];[1.   0.95];[0.97560976 0.97435897]
dino_vits8;XGBClassifier;100;0;80;2;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_vits8;XGBClassifier;100;0;80;3;0.975;[0.975 0.975];[0.975 0.975];[0.975 0.975]
dino_vits8;XGBClassifier;100;0;80;4;0.9625;[0.95121951 0.97435897];[0.975 0.95 ];[0.96296296 0.96202532]
dino_vits8;XGBClassifier;100;0;80;5;0.95;[0.95 0.95];[0.95 0.95];[0.95 0.95]
dino_vits8;XGBClassifier;100;0;80;6;0.95;[0.92857143 0.97368421];[0.975 0.925];[0.95121951 0.94871795]
dino_vits8;XGBClassifier;100;0;80;7;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_vits8;XGBClassifier;100;0;80;8;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_vits8;XGBClassifier;100;0;80;9;0.9625;[0.93023256 1.        ];[1.    0.925];[0.96385542 0.96103896]
dino_vits8;XGBClassifier;200;0;80;0;0.9375;[0.90697674 0.97297297];[0.975 0.9  ];[0.93975904 0.93506494]
dino_vits8;XGBClassifier;200;0;80;1;0.975;[0.95238095 1.        ];[1.   0.95];[0.97560976 0.97435897]
dino_vits8;XGBClassifier;200;0;80;2;1.0;[1. 1.];[1. 1.];[1. 1.]
dino_vits8;XGBClassifier;200;0;80;3;0.95;[0.92857143 0.97368421];[0.975 0.925];[0.95121951 0.94871795]
dino_vits8;XGBClassifier;200;0;80;4;0.975;[0.95238095 1.        ];[1.   0.95];[0.97560976 0.97435897]
dino_vits8;XGBClassifier;200;0;80;5;0.9625;[0.93023256 1.        ];[1.    0.925];[0.96385542 0.96103896]
dino_vits8;XGBClassifier;200;0;80;6;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_vits8;XGBClassifier;200;0;80;7;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_vits8;XGBClassifier;200;0;80;8;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_vits8;XGBClassifier;200;0;80;9;1.0;[1. 1.];[1. 1.];[1. 1.]
