transformer;model;train_samples;val_samples;test_samples;seed;test_acc;test_prec;test_recall;test_f1
dino_vits8;XGBClassifier;4;0;54;0;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;1;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;2;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;3;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;4;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;5;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;6;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;7;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;8;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;9;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;8;0;54;0;0.6666666666666666;[0.77777778 0.66666667 0.71428571 0.33333333];[0.73684211 0.57142857 0.65217391 0.6       ];[0.75675676 0.61538462 0.68181818 0.42857143]
dino_vits8;XGBClassifier;8;0;54;1;0.6296296296296297;[0.8        0.23076923 0.875      0.5       ];[0.63157895 0.42857143 0.60869565 1.        ];[0.70588235 0.3        0.71794872 0.66666667]
dino_vits8;XGBClassifier;8;0;54;2;0.6296296296296297;[0.94444444 0.25       0.58823529 1.        ];[0.89473684 0.57142857 0.43478261 0.6       ];[0.91891892 0.34782609 0.5        0.75      ]
