encoder;model;train_samples;val_samples;test_samples;seed;test_acc;test_prec;test_recall;test_f1
resnet18;XGBClassifier;257;0;80;0;1.0;[1. 1.];[1. 1.];[1. 1.]
resnet18;XGBClassifier;257;0;80;1;0.9625;[0.95121951 0.97435897];[0.975 0.95 ];[0.96296296 0.96202532]
resnet18;XGBClassifier;257;0;80;2;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
resnet18;XGBClassifier;257;0;80;3;0.975;[0.95238095 1.        ];[1.   0.95];[0.97560976 0.97435897]
resnet18;XGBClassifier;257;0;80;4;1.0;[1. 1.];[1. 1.];[1. 1.]
resnet50;XGBClassifier;257;0;80;0;0.9625;[1.         0.93023256];[0.925 1.   ];[0.96103896 0.96385542]
resnet50;XGBClassifier;257;0;80;1;0.95;[0.95 0.95];[0.95 0.95];[0.95 0.95]
resnet50;XGBClassifier;257;0;80;2;0.9375;[0.92682927 0.94871795];[0.95  0.925];[0.9382716  0.93670886]
resnet50;XGBClassifier;257;0;80;3;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
resnet50;XGBClassifier;257;0;80;4;0.9625;[1.         0.93023256];[0.925 1.   ];[0.96103896 0.96385542]
resnet101;XGBClassifier;257;0;80;0;0.975;[1.         0.95238095];[0.95 1.  ];[0.97435897 0.97560976]
resnet101;XGBClassifier;257;0;80;1;0.95;[0.95 0.95];[0.95 0.95];[0.95 0.95]
resnet101;XGBClassifier;257;0;80;2;0.975;[0.975 0.975];[0.975 0.975];[0.975 0.975]
resnet101;XGBClassifier;257;0;80;3;0.975;[1.         0.95238095];[0.95 1.  ];[0.97435897 0.97560976]
resnet101;XGBClassifier;257;0;80;4;0.9875;[1.         0.97560976];[0.975 1.   ];[0.98734177 0.98765432]
resnet152;XGBClassifier;257;0;80;0;0.95;[0.92857143 0.97368421];[0.975 0.925];[0.95121951 0.94871795]
resnet152;XGBClassifier;257;0;80;1;0.9875;[1.         0.97560976];[0.975 1.   ];[0.98734177 0.98765432]
resnet152;XGBClassifier;257;0;80;2;0.95;[0.97368421 0.92857143];[0.925 0.975];[0.94871795 0.95121951]
resnet152;XGBClassifier;257;0;80;3;0.9625;[0.95121951 0.97435897];[0.975 0.95 ];[0.96296296 0.96202532]
resnet152;XGBClassifier;257;0;80;4;0.975;[0.975 0.975];[0.975 0.975];[0.975 0.975]
vgg;XGBClassifier;257;0;80;0;0.9625;[0.93023256 1.        ];[1.    0.925];[0.96385542 0.96103896]
vgg;XGBClassifier;257;0;80;1;1.0;[1. 1.];[1. 1.];[1. 1.]
vgg;XGBClassifier;257;0;80;2;0.975;[0.95238095 1.        ];[1.   0.95];[0.97560976 0.97435897]
vgg;XGBClassifier;257;0;80;3;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
vgg;XGBClassifier;257;0;80;4;1.0;[1. 1.];[1. 1.];[1. 1.]
dino_vits16;XGBClassifier;257;0;80;0;0.975;[0.95238095 1.        ];[1.   0.95];[0.97560976 0.97435897]
dino_vits16;XGBClassifier;257;0;80;1;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_vits16;XGBClassifier;257;0;80;2;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_vits16;XGBClassifier;257;0;80;3;0.975;[0.95238095 1.        ];[1.   0.95];[0.97560976 0.97435897]
dino_vits16;XGBClassifier;257;0;80;4;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_vits8;XGBClassifier;257;0;80;0;0.925;[0.9047619  0.94736842];[0.95 0.9 ];[0.92682927 0.92307692]
dino_vits8;XGBClassifier;257;0;80;1;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_vits8;XGBClassifier;257;0;80;2;1.0;[1. 1.];[1. 1.];[1. 1.]
dino_vits8;XGBClassifier;257;0;80;3;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_vits8;XGBClassifier;257;0;80;4;0.975;[0.95238095 1.        ];[1.   0.95];[0.97560976 0.97435897]
dino_vitb16;XGBClassifier;257;0;80;0;0.9625;[0.93023256 1.        ];[1.    0.925];[0.96385542 0.96103896]
dino_vitb16;XGBClassifier;257;0;80;1;0.9625;[0.93023256 1.        ];[1.    0.925];[0.96385542 0.96103896]
dino_vitb16;XGBClassifier;257;0;80;2;0.95;[0.90909091 1.        ];[1.  0.9];[0.95238095 0.94736842]
dino_vitb16;XGBClassifier;257;0;80;3;0.95;[0.90909091 1.        ];[1.  0.9];[0.95238095 0.94736842]
dino_vitb16;XGBClassifier;257;0;80;4;0.9625;[0.93023256 1.        ];[1.    0.925];[0.96385542 0.96103896]
dino_vitb8;XGBClassifier;257;0;80;0;0.975;[0.975 0.975];[0.975 0.975];[0.975 0.975]
dino_vitb8;XGBClassifier;257;0;80;1;0.975;[0.975 0.975];[0.975 0.975];[0.975 0.975]
dino_vitb8;XGBClassifier;257;0;80;2;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_vitb8;XGBClassifier;257;0;80;3;0.975;[0.975 0.975];[0.975 0.975];[0.975 0.975]
dino_vitb8;XGBClassifier;257;0;80;4;0.975;[0.975 0.975];[0.975 0.975];[0.975 0.975]
dino_resnet50;XGBClassifier;257;0;80;0;0.975;[0.95238095 1.        ];[1.   0.95];[0.97560976 0.97435897]
dino_resnet50;XGBClassifier;257;0;80;1;0.975;[0.95238095 1.        ];[1.   0.95];[0.97560976 0.97435897]
dino_resnet50;XGBClassifier;257;0;80;2;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_resnet50;XGBClassifier;257;0;80;3;0.9875;[0.97560976 1.        ];[1.    0.975];[0.98765432 0.98734177]
dino_resnet50;XGBClassifier;257;0;80;4;0.95;[0.90909091 1.        ];[1.  0.9];[0.95238095 0.94736842]
