encoder;model;train_samples;val_samples;test_samples;seed;test_acc;test_prec;test_recall;test_f1
resnet18;XGBClassifier;176;0;54;0;0.9444444444444444;[1.         0.83333333 0.91666667 1.        ];[1.         0.71428571 0.95652174 1.        ];[1.         0.76923077 0.93617021 1.        ]
resnet18;XGBClassifier;176;0;54;1;0.9259259259259259;[0.95       0.8        0.91666667 1.        ];[1.         0.57142857 0.95652174 1.        ];[0.97435897 0.66666667 0.93617021 1.        ]
resnet18;XGBClassifier;176;0;54;2;0.9629629629629629;[1.   1.   0.92 1.  ];[1.         0.71428571 1.         1.        ];[1.         0.83333333 0.95833333 1.        ]
resnet18;XGBClassifier;176;0;54;3;0.9629629629629629;[1.   1.   0.92 1.  ];[1.         0.71428571 1.         1.        ];[1.         0.83333333 0.95833333 1.        ]
resnet18;XGBClassifier;176;0;54;4;0.9444444444444444;[1.         0.83333333 0.91666667 1.        ];[1.         0.71428571 0.95652174 1.        ];[1.         0.76923077 0.93617021 1.        ]
resnet50;XGBClassifier;176;0;54;0;0.9259259259259259;[1.   0.8  0.88 1.  ];[1.         0.57142857 0.95652174 1.        ];[1.         0.66666667 0.91666667 1.        ]
resnet50;XGBClassifier;176;0;54;1;0.9074074074074074;[1.         0.66666667 0.88       1.        ];[0.94736842 0.57142857 0.95652174 1.        ];[0.97297297 0.61538462 0.91666667 1.        ]
resnet50;XGBClassifier;176;0;54;2;0.9444444444444444;[1.         1.         0.88461538 1.        ];[1.         0.57142857 1.         1.        ];[1.         0.72727273 0.93877551 1.        ]
resnet50;XGBClassifier;176;0;54;3;0.9444444444444444;[1.         0.83333333 0.91666667 1.        ];[1.         0.71428571 0.95652174 1.        ];[1.         0.76923077 0.93617021 1.        ]
resnet50;XGBClassifier;176;0;54;4;0.9629629629629629;[1.   1.   0.92 1.  ];[1.         0.71428571 1.         1.        ];[1.         0.83333333 0.95833333 1.        ]
resnet101;XGBClassifier;176;0;54;0;0.9444444444444444;[1.         0.83333333 0.91666667 1.        ];[1.         0.71428571 0.95652174 1.        ];[1.         0.76923077 0.93617021 1.        ]
resnet101;XGBClassifier;176;0;54;1;0.9629629629629629;[1.   1.   0.92 1.  ];[1.         0.71428571 1.         1.        ];[1.         0.83333333 0.95833333 1.        ]
resnet101;XGBClassifier;176;0;54;2;0.9629629629629629;[1.   1.   0.92 1.  ];[1.         0.71428571 1.         1.        ];[1.         0.83333333 0.95833333 1.        ]
resnet101;XGBClassifier;176;0;54;3;0.9629629629629629;[1.   1.   0.92 1.  ];[1.         0.71428571 1.         1.        ];[1.         0.83333333 0.95833333 1.        ]
resnet101;XGBClassifier;176;0;54;4;0.9629629629629629;[1.   1.   0.92 1.  ];[1.         0.71428571 1.         1.        ];[1.         0.83333333 0.95833333 1.        ]
resnet152;XGBClassifier;176;0;54;0;0.9074074074074074;[1.         1.         0.82142857 1.        ];[1.         0.42857143 1.         0.8       ];[1.         0.6        0.90196078 0.88888889]
