"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","class_weight","dataset","es_metric","es_patience","gpu_ids","group","lr","mode","model","momentum","n_epochs","n_train_samples","name","no_pretrain","no_wandb","offline","project","scheduler_patience","seed","y_labels","test_accuracy","test_f1","test_precision","test_recall","train_accuracy","train_f1","train_loss","train_precision","train_recall","val_accuracy","val_f1","val_loss","val_precision","val_recall"
"alexnet_n=all_clf (2024.05.23. 00:27)","finished","-","","","2024-05-22T16:27:51.000Z","473","","100","false","fayoum","loss","30","[0,1]","alexnet_n=all_clf","0.0001","clf","alexnet","0.9","5000","-1","alexnet_n=all_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.8458333015441895","0.8707184791564941","0.9375","0.8458333015441895","0.867795467376709","0.8825803995132446","4.734689451754093","0.9199921488761902","0.867795467376709","0.7664835453033447","0.7495710253715515","14.553139179944992","0.7875000238418579","0.7664835453033447"
"resnet50_n=all_clf (2024.05.22. 22:10)","finished","-","","","2024-05-22T14:10:22.000Z","8244","","100","false","fayoum","loss","30","[0,1]","resnet50_n=all_clf","0.0001","clf","resnet50","0.9","5000","-1","resnet50_n=all_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.8402777910232544","0.839795708656311","0.8806159496307373","0.8402777910232544","0.982758641242981","0.9867610931396484","5.2054518312215805","0.991525411605835","0.982758641242981","0.8928571343421936","0.9068182110786438","10.832989931106567","0.9527777433395386","0.8928571343421936"
"alexnet_n=120_clf (2024.05.22. 22:01)","finished","-","","","2024-05-22T14:01:17.000Z","541","","100","false","fayoum","loss","30","[0,1]","alexnet_n=120_clf","0.0001","clf","alexnet","0.9","5000","120","alexnet_n=120_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.8888888955116272","0.8923444747924805","0.8999999761581421","0.8888888955116272","0.8963537812232971","0.8864629864692688","0.6776127964258194","0.8810017108917236","0.8963537812232971","0.8901098966598511","0.89384925365448","13.05551180243492","0.902255654335022","0.8901098966598511"
"resnet50_n=120_clf (2024.05.22. 19:56)","finished","-","","","2024-05-22T11:56:47.000Z","7465","","100","false","fayoum","loss","30","[0,1]","resnet50_n=120_clf","0.0001","clf","resnet50","0.9","5000","120","resnet50_n=120_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.8965643048286438","0.8994216918945312","0.9045454263687134","0.8965643048286438","0.9577105641365052","0.9434080123901368","3.1812530010938644","0.934322714805603","0.9577105641365052","0.8928571343421936","0.9068182110786438","12.111498773097992","0.9527777433395386","0.8928571343421936"
"alexnet_n=40_clf (2024.05.22. 19:00)","finished","-","","","2024-05-22T11:00:24.000Z","3378","","100","false","fayoum","loss","30","[0,1]","alexnet_n=40_clf","0.0001","clf","alexnet","0.9","5000","40","alexnet_n=40_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.8410087823867798","0.8156116604804993","0.8105158805847168","0.8410087823867798","0.8750289082527161","0.8693354725837708","0.003922023344784975","0.8675304055213928","0.8750289082527161","0.7994505763053894","0.7821428775787354","8.057045578956604","0.7819443941116333","0.7994505763053894"
"resnet50_n=40_clf (2024.05.22. 17:30)","finished","-","","","2024-05-22T09:30:54.000Z","5366","","100","false","fayoum","loss","30","[0,1]","resnet50_n=40_clf","0.0001","clf","resnet50","0.9","5000","40","resnet50_n=40_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.883406400680542","0.8841373920440674","0.887499988079071","0.883406400680542","0.8634167909622192","0.8454577922821045","0.265249639749527","0.8381772637367249","0.8634167909622192","0.8424369692802429","0.8457956910133362","8.85328596830368","0.8759191036224365","0.8424369692802429"
"alexnet_n=20_clf (2024.05.22. 17:09)","finished","-","","","2024-05-22T09:09:26.000Z","1285","","100","false","fayoum","loss","30","[0,1]","alexnet_n=20_clf","0.0001","clf","alexnet","0.9","5000","20","alexnet_n=20_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.8541666269302368","0.8307017683982849","0.8348214626312256","0.8541666269302368","0.8449320793151855","0.8387210965156555","0.0024154678814940983","0.8567732572555542","0.8449320793151855","0.7252746820449829","0.6864947080612183","6.311944951613744","0.7267144918441772","0.7252746820449829"
"alexnet_n=all_clf (2024.05.22. 16:15)","finished","-","","","2024-05-22T08:15:03.000Z","407","","100","false","fayoum","loss","30","[0,1]","alexnet_n=all_clf","0.0001","clf","alexnet","0.9","5000","-1","alexnet_n=all_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.8458333015441895","0.8707184791564941","0.9375","0.8458333015441895","0.9094071388244628","0.9218152165412904","3.728042360395193","0.9491588473320008","0.9094071388244628","0.8214285373687744","0.8229837417602539","12.519411712884905","0.9291666746139526","0.8214285373687744"
"resnet50_n=20_clf (2024.05.22. 14:51)","finished","-","","","2024-05-22T06:51:14.000Z","8287","","100","false","fayoum","loss","30","[0,1]","resnet50_n=20_clf","0.0001","clf","resnet50","0.9","5000","20","resnet50_n=20_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.7605993747711182","0.743211567401886","0.7458827495574951","0.7605993747711182","0.764049768447876","0.742011308670044","0.053146986497773066","0.7459797859191895","0.764049768447876","0.7983193397521973","0.7904762029647827","9.092083275318146","0.7983193397521973","0.7983193397521973"
"resnet50_n=all_clf (2024.05.22. 12:18)","finished","-","","","2024-05-22T04:18:10.000Z","14208","","100","false","fayoum","loss","30","[0,1]","resnet50_n=all_clf","0.0001","clf","resnet50","0.9","5000","-1","resnet50_n=all_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.8958333134651184","0.9028002619743348","0.9420454502105712","0.8958333134651184","1","1","5.277606651186943","1","1","0.7664835453033447","0.7504699230194092","12.168947130441666","0.9023809432983398","0.7664835453033447"
"alexnet_n=120_clf (2024.05.22. 12:08)","finished","-","","","2024-05-22T04:08:03.000Z","602","","100","false","fayoum","loss","30","[0,1]","alexnet_n=120_clf","0.0001","clf","alexnet","0.9","5000","120","alexnet_n=120_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.9027777910232544","0.9084249138832092","0.9246031641960144","0.9027777910232544","0.8914095759391785","0.8820213675498962","1.2175730429589748","0.8760226964950562","0.8914095759391785","0.8736263513565063","0.8863964080810547","11.772827833890917","0.912500023841858","0.8736263513565063"
"alexnet_n=8_clf (2024.05.22. 11:41)","finished","-","","","2024-05-22T03:41:59.000Z","11351","","100","false","fayoum","loss","30","[0,1]","alexnet_n=8_clf","0.0001","clf","alexnet","0.9","5000","8","alexnet_n=8_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.799342155456543","0.7480051517486572","0.7459150552749634","0.799342155456543","0.8249795436859131","0.8059861660003662","0.00003286219064400277","0.8016760945320129","0.8249795436859131","0.7994505763053894","0.7867604494094849","4.216522956887881","0.8070175051689148","0.7994505763053894"
"resnet50_n=120_clf (2024.05.22. 08:56)","finished","-","","","2024-05-22T00:56:26.000Z","11493","","100","false","fayoum","loss","30","[0,1]","resnet50_n=120_clf","0.0001","clf","resnet50","0.9","5000","120","resnet50_n=120_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.8826754093170166","0.8681003451347351","0.8580542206764221","0.8826754093170166","0.978779673576355","0.969215989112854","3.787166252732277","0.9632352590560912","0.978779673576355","0.8781512975692749","0.8859788179397583","12.717653334140778","0.904365062713623","0.8781512975692749"
"resnet50_n=8_clf (2024.05.22. 07:51)","finished","-","","","2024-05-21T23:51:16.000Z","13839","","100","false","fayoum","loss","30","[0,1]","resnet50_n=8_clf","0.0001","clf","resnet50","0.9","5000","8","resnet50_n=8_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.7189327478408813","0.6962121725082397","0.7059295177459717","0.7189327478408813","0.7278382778167725","0.7099004983901978","0.0032714734023267574","0.7070047855377197","0.7278382778167725","0.8130252361297607","0.8078577518463135","5.235725561777751","0.8161764740943909","0.8130252361297607"
"alexnet_n=40_clf (2024.05.22. 07:09)","finished","-","","","2024-05-21T23:09:55.000Z","6387","","100","false","fayoum","loss","30","[0,1]","alexnet_n=40_clf","0.0001","clf","alexnet","0.9","5000","40","alexnet_n=40_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.8541666269302368","0.8432309031486511","0.8520833253860474","0.8541666269302368","0.86539626121521","0.8537458777427673","0.024059366434812542","0.846103310585022","0.86539626121521","0.8543956279754639","0.8535470366477966","7.4511585384607315","0.8671365976333618","0.8543956279754639"
